Longitud de Onda;Intensidad
700.00;4.136710
702.29;3.880719
704.57;4.068627
706.86;3.962418
709.14;4.150327
711.43;4.104031
713.71;4.207516
716.00;4.207516
718.29;4.261982
720.57;4.248366
722.86;4.381808
725.14;4.419935
727.43;4.621459
729.71;4.635077
732.00;4.866558
734.29;4.842048
736.57;5.125272
738.86;5.119826
741.14;5.375817
743.43;5.302288
745.71;5.552832
748.00;5.552832
750.29;5.846950
752.57;5.822440
754.86;6.029412
757.14;6.023965
759.43;6.157407
761.71;6.064815
764.00;6.358932
766.29;6.288126
768.57;6.497821
770.86;6.407952
773.14;6.617647
775.43;6.535947
777.71;6.650327
780.00;6.625817
782.29;6.851851
784.57;6.868192
786.86;7.121459
789.14;7.037037
791.43;7.314815
793.71;7.263072
796.00;7.543573
798.29;7.472767
800.57;7.671568
802.86;7.728758
805.14;7.870370
807.43;7.919390
809.71;8.183552
812.00;8.145425
814.29;8.287037
816.57;8.434095
818.86;8.605664
821.14;8.739106
823.43;8.777233
825.71;8.913399
828.00;9.104031
830.29;9.101307
832.57;9.346405
834.86;9.477124
837.14;9.588780
839.43;9.550653
841.71;9.820262
844.00;9.950980
846.29;10.179738
848.57;10.155229
850.86;10.326797
853.14;10.435730
855.43;10.626362
857.71;10.536492
860.00;10.912310
862.29;10.738017
864.57;10.985839
866.86;10.803377
869.14;11.032135
871.43;11.141068
873.71;11.252723
876.00;11.225491
878.29;11.609477
880.57;11.451525
882.86;11.824619
885.14;11.813725
887.43;11.914488
889.71;11.947168
892.00;12.205882
894.29;12.200436
896.57;12.456428
898.86;12.573529
901.14;12.677015
903.43;12.660675
905.71;12.840414
908.00;12.829521
910.29;13.096405
912.57;13.022876
914.86;13.232572
917.14;13.028322
919.43;13.425926
921.71;13.308824
924.00;13.510348
926.29;13.518518
928.57;13.613834
930.86;13.551199
933.14;13.730937
935.43;13.586601
937.71;13.995098
940.00;13.771787
942.29;13.959695
944.57;13.809913
946.86;13.954248
949.14;13.986928
951.43;14.098584
953.71;14.033224
956.00;14.283769
958.29;14.163944
960.57;14.362745
962.86;14.256536
965.14;14.591503
967.43;14.417212
969.71;14.670479
972.00;14.509804
974.29;14.588780
976.57;14.417212
978.86;14.556101
981.14;14.346405
983.43;14.477124
985.71;14.237473
988.00;14.452615
990.29;14.270153
992.57;14.509804
994.86;14.438997
997.14;14.610566
999.43;14.392702
1001.71;14.795752
1004.00;14.436275
1006.29;14.613290
1008.57;14.613290
1010.86;14.602396
1013.14;14.210239
1015.43;14.436275
1017.71;13.948801
1020.00;14.022330
1022.29;13.739106
1024.57;13.820807
1026.86;13.485839
1029.14;13.665577
1031.43;13.355121
1033.71;13.210784
1036.00;13.041939
1038.29;12.864924
1040.57;12.638889
1042.86;12.595316
1045.14;12.167756
1047.43;12.227670
1049.71;11.849129
1052.00;11.691176
1054.29;11.285403
1056.57;11.386166
1058.86;10.953159
1061.14;10.999455
1063.43;10.490196
1065.71;10.620914
1068.00;10.138889
1070.29;10.010894
1072.57;9.474401
1074.86;9.455338
1077.14;9.169390
1079.43;9.128541
1081.71;8.940632
1084.00;8.831699
1086.29;8.502179
1088.57;8.529411
1090.86;8.145425
1093.14;8.137255
1095.43;7.886710
1097.71;8.044662
1100.00;7.892157
