Longitud de Onda;Intensidad Promedio
300.00;0.851563
303.41;0.717510
306.82;0.851935
310.23;0.821181
313.64;0.998884
317.05;0.898189
320.45;1.033606
323.86;0.992808
327.27;1.134921
330.68;1.158110
334.09;1.334077
337.50;1.385789
340.91;1.597346
344.32;1.602679
347.73;1.801339
351.14;1.833209
354.55;2.132937
357.95;2.192956
361.36;2.441344
364.77;2.536582
368.18;2.803695
371.59;2.881944
375.00;3.115079
378.41;3.174603
381.82;3.451513
385.23;3.498140
388.64;3.765749
392.05;3.878472
395.45;4.170015
398.86;4.218998
402.27;4.414807
405.68;4.526662
409.09;4.833457
412.50;4.824529
415.91;5.076637
419.32;5.200645
422.73;5.559648
426.14;5.557044
429.55;5.823537
432.95;5.914435
436.36;6.174355
439.77;6.207837
443.18;6.562004
446.59;6.656374
450.00;6.936012
453.41;6.952877
456.82;7.158978
460.23;7.220238
463.64;7.508433
467.05;7.538566
470.45;7.789063
473.86;7.924975
477.27;8.203125
480.68;8.228423
484.09;8.388145
487.50;8.482019
490.91;8.791171
494.32;8.851066
497.73;9.165055
501.14;9.309772
504.55;9.726314
507.95;9.716890
511.36;10.017981
514.77;10.133929
518.18;10.419271
521.59;10.414683
525.00;10.723462
528.41;10.701389
531.82;11.022941
535.23;10.918651
538.64;11.144345
542.05;10.960565
545.45;11.259425
548.86;11.087798
552.27;11.308284
555.68;11.334201
559.09;11.501984
562.50;11.433780
565.91;11.697793
569.32;11.573289
572.73;11.919519
576.14;11.983631
579.55;12.249876
582.95;12.331473
586.36;12.728423
589.77;12.667535
593.18;12.930804
596.59;13.061260
600.00;13.333829
603.41;13.408854
606.82;13.700149
610.23;13.766989
613.64;14.295139
617.05;14.126860
620.45;14.294271
623.86;14.261037
627.27;14.611731
630.68;14.461930
634.09;14.701017
637.50;14.478919
640.91;14.671007
644.32;14.303695
647.73;14.259673
651.14;14.021205
654.55;14.072421
657.95;13.744544
661.36;13.816964
664.77;13.625868
668.18;13.744668
671.59;13.538442
675.00;13.602307
678.41;13.544891
681.82;13.757316
685.23;13.758557
688.64;13.921007
692.05;13.908606
695.45;14.233879
698.86;13.923487
702.27;13.949157
705.68;13.675099
709.09;13.652406
712.50;13.268105
715.91;13.186260
719.32;12.840526
722.73;12.955481
726.14;12.455357
729.55;12.549727
732.95;12.267981
736.36;12.447545
739.77;12.270957
743.18;12.376736
746.59;12.355035
750.00;12.600570
753.41;12.291667
756.82;12.248388
760.23;12.033606
763.64;11.876488
767.05;11.330977
770.45;10.999628
773.86;10.480655
777.27;10.219866
780.68;9.482515
784.09;9.323537
787.50;8.875000
790.91;8.867560
794.32;8.598214
797.73;8.701141
801.14;8.258557
804.55;8.066344
807.95;7.545635
811.36;7.390749
814.77;6.884425
818.18;6.924727
821.59;6.554191
825.00;6.586558
828.41;6.225074
831.82;6.321925
835.23;5.942212
838.64;5.845238
842.05;5.276538
845.45;5.052951
848.86;4.391989
852.27;4.291915
855.68;3.919643
859.09;4.094122
862.50;3.852059
865.91;3.883185
869.32;3.757564
872.73;3.957589
876.14;3.647693
879.55;3.925719
882.95;3.627604
886.36;3.805928
889.77;3.519593
893.18;3.659350
896.59;3.512029
