Longitud de Onda;Intensidad Promedio
300.00;0.000000
303.41;0.000000
306.82;0.000000
310.23;0.000000
313.64;0.000000
317.05;0.000000
320.45;0.000631
323.86;0.000000
327.27;0.000631
330.68;0.000000
334.09;0.000000
337.50;0.001263
340.91;0.000000
344.32;0.000000
347.73;0.000000
351.14;0.000000
354.55;0.001263
357.95;0.000000
361.36;0.000631
364.77;0.000000
368.18;0.000000
371.59;0.000631
375.00;0.000000
378.41;0.000000
381.82;0.000000
385.23;0.000000
388.64;0.000000
392.05;0.000000
395.45;0.000000
398.86;0.001894
402.27;0.000000
405.68;0.000631
409.09;0.002525
412.50;0.000000
415.91;0.000631
419.32;0.000631
422.73;0.000631
426.14;0.000000
429.55;0.000000
432.95;0.000000
436.36;0.000000
439.77;0.000000
443.18;0.000000
446.59;0.000631
450.00;0.000631
453.41;0.000000
456.82;0.000631
460.23;0.000000
463.64;0.000631
467.05;0.000000
470.45;0.000000
473.86;0.000000
477.27;0.001263
480.68;0.000000
484.09;0.000631
487.50;0.000000
490.91;0.000000
494.32;0.000000
497.73;0.000000
501.14;0.000000
504.55;0.000000
507.95;0.000000
511.36;0.001263
514.77;0.000631
518.18;0.000000
521.59;0.000000
525.00;0.000000
528.41;0.000000
531.82;0.000000
535.23;0.001263
538.64;0.000631
542.05;0.000000
545.45;0.000631
548.86;0.000000
552.27;0.000000
555.68;0.000000
559.09;0.000000
562.50;0.000000
565.91;0.000000
569.32;0.000000
572.73;0.001894
576.14;0.000000
579.55;0.000000
582.95;0.000000
586.36;0.002525
589.77;0.000000
593.18;0.000000
596.59;0.000000
600.00;0.000000
603.41;0.000000
606.82;0.000631
610.23;0.000000
613.64;0.000631
617.05;0.000000
620.45;0.000000
623.86;0.000000
627.27;0.000000
630.68;0.000000
634.09;0.000631
637.50;0.000000
640.91;0.000000
644.32;0.000631
647.73;0.000000
651.14;0.000000
654.55;0.000000
657.95;0.000000
661.36;0.000000
664.77;0.000000
668.18;0.000000
671.59;0.000000
675.00;0.000000
678.41;0.000000
681.82;0.000000
685.23;0.000000
688.64;0.000000
692.05;0.000000
695.45;0.001263
698.86;0.000000
702.27;0.000000
705.68;0.000000
709.09;0.000631
712.50;0.000000
715.91;0.000000
719.32;0.000000
722.73;0.000631
726.14;0.000000
729.55;0.000000
732.95;0.000000
736.36;0.000000
739.77;0.000000
743.18;0.000000
746.59;0.000000
750.00;0.001263
753.41;0.000000
756.82;0.000000
760.23;0.000000
763.64;0.000000
767.05;0.001263
770.45;0.000000
773.86;0.000000
777.27;0.000000
780.68;0.000000
784.09;0.001263
787.50;0.000631
790.91;0.001894
794.32;0.000000
797.73;0.000000
801.14;0.000000
804.55;0.000631
807.95;0.000000
811.36;0.000631
814.77;0.000000
818.18;0.000000
821.59;0.000000
825.00;0.000000
828.41;0.000000
831.82;0.000000
835.23;0.000000
838.64;0.000000
842.05;0.000000
845.45;0.000631
848.86;0.000000
852.27;0.001894
855.68;0.000631
859.09;0.000000
862.50;0.000631
865.91;0.001263
869.32;0.000000
872.73;0.000000
876.14;0.000000
879.55;0.000000
882.95;0.000000
886.36;0.000000
889.77;0.000000
893.18;0.001263
896.59;0.000000
