ID Muestra: MDV021453
Longitud de Onda;Intensidad Promedio
300.00;0.356360
303.41;0.301535
306.82;0.370614
310.23;0.357456
313.64;0.435673
317.05;0.388158
320.45;0.448830
323.86;0.428363
327.27;0.511330
330.68;0.524854
334.09;0.604898
337.50;0.660453
340.91;0.752193
344.32;0.779971
347.73;0.895833
351.14;0.922149
354.55;1.091009
357.95;1.129751
361.36;1.271564
364.77;1.333699
368.18;1.485380
371.59;1.528143
375.00;1.711623
378.41;1.739401
381.82;1.901681
385.23;1.995980
388.64;2.165570
392.05;2.225877
395.45;2.411550
398.86;2.470395
402.27;2.631579
405.68;2.740132
409.09;2.956871
412.50;2.957602
415.91;3.188596
419.32;3.344298
422.73;3.604898
426.14;3.737208
429.55;3.976608
432.95;4.119883
436.36;4.354532
439.77;4.468202
443.18;4.751827
446.59;4.930190
450.00;5.200658
453.41;5.367325
456.82;5.702485
460.23;5.855629
463.64;6.238670
467.05;6.432018
470.45;6.801901
473.86;7.124269
477.27;7.548246
480.68;7.892178
484.09;8.231360
487.50;8.570175
490.91;8.982091
494.32;9.343567
497.73;9.932383
501.14;10.406067
504.55;11.031067
507.95;11.429094
511.36;11.922515
514.77;12.254751
518.18;12.646930
521.59;12.846491
525.00;13.184211
528.41;13.346857
531.82;13.593933
535.23;13.682749
538.64;13.810673
542.05;13.814327
545.45;13.984649
548.86;13.933845
552.27;14.101974
555.68;14.133772
559.09;14.234649
562.50;14.367690
565.91;14.576023
569.32;14.678728
572.73;14.960161
576.14;15.183480
579.55;15.470760
582.95;15.716374
586.36;16.111842
589.77;16.343933
593.18;16.694810
596.59;16.964547
600.00;17.341009
603.41;17.622442
606.82;18.048977
610.23;18.341740
613.64;18.785088
617.05;18.839912
620.45;18.958333
623.86;19.018275
627.27;19.280336
630.68;19.245614
634.09;19.358187
637.50;19.189693
640.91;19.173246
644.32;18.928363
647.73;18.785453
651.14;18.463085
654.55;18.327120
657.95;18.085892
661.36;18.082602
664.77;17.912281
668.18;17.999635
671.59;17.961257
675.00;18.074927
678.41;18.103436
681.82;18.280336
685.23;18.456871
688.64;18.669591
692.05;18.761696
695.45;18.973684
698.86;18.831871
702.27;18.839912
705.68;18.488670
709.09;18.237939
712.50;17.838450
715.91;17.573099
719.32;17.077851
722.73;16.960892
726.14;16.532164
729.55;16.477339
732.95;16.301535
736.36;16.328216
739.77;16.284722
743.18;16.450292
746.59;16.495980
750.00;16.713450
753.41;16.554825
756.82;16.497076
760.23;16.098319
763.64;15.618787
767.05;14.868421
770.45;14.353070
773.86;13.466740
777.27;12.899123
780.68;12.251096
784.09;12.025585
787.50;11.654971
790.91;11.744883
794.32;11.533626
797.73;11.617690
801.14;11.144006
804.55;10.752924
807.95;9.836988
811.36;8.992690
814.77;7.914839
818.18;7.344664
821.59;6.729167
825.00;6.534722
828.41;6.281798
831.82;6.406798
835.23;6.197734
838.64;5.947368
842.05;5.263523
845.45;4.728070
848.86;3.863304
852.27;3.455775
855.68;2.932018
859.09;2.931287
862.50;2.717105
865.91;2.723684
869.32;2.631944
872.73;2.690424
876.14;2.256579
879.55;2.152412
882.95;1.726608
886.36;1.709795
889.77;1.404240
893.18;1.454313
896.59;1.356725
